id,origin,destination,airline,flightNumber,duration,price,departureTime
1,VIE,FRA,Lufthansa,LH1234,75,120.50,08:00
2,VIE,LHR,British Airways,BA456,120,180.00,09:30
3,VIE,CDG,Air France,AF789,110,165.00,10:15
4,VIE,AMS,KLM,KL321,95,145.00,11:00
5,VIE,MUC,Lufthansa,LH567,60,95.00,07:30
6,FRA,JFK,Lufthansa,LH400,480,650.00,10:30
7,FRA,LHR,British Airways,BA902,90,110.00,12:00
8,FRA,CDG,Air France,AF1234,70,105.00,13:30
9,FRA,AMS,KLM,KL890,60,98.00,14:00
10,FRA,MUC,Lufthansa,LH2345,55,85.00,15:30
11,LHR,JFK,British Airways,BA178,450,720.00,11:00
12,LHR,CDG,Air France,AF567,75,95.00,08:30
13,LHR,AMS,KLM,KL456,65,88.00,09:00
14,LHR,MAD,Iberia,IB789,130,155.00,10:30
15,LHR,FCO,Alitalia,AZ123,150,175.00,12:00
16,CDG,JFK,Air France,AF007,480,680.00,13:00
17,CDG,AMS,KLM,KL234,60,92.00,07:00
18,CDG,MAD,Iberia,IB456,110,140.00,08:30
19,CDG,FCO,Alitalia,AZ456,105,135.00,10:00
20,CDG,MUC,Lufthansa,LH678,85,115.00,11:30
21,AMS,JFK,KLM,KL642,480,670.00,14:30
22,AMS,LHR,British Airways,BA234,65,90.00,06:30
23,AMS,MAD,Iberia,IB234,140,160.00,08:00
24,AMS,FCO,Alitalia,AZ789,120,145.00,09:30
25,AMS,ZRH,Swiss,LX567,75,105.00,11:00
26,MAD,JFK,Iberia,IB6251,510,750.00,15:00
27,MAD,FCO,Alitalia,AZ234,130,150.00,07:30
28,MAD,BRU,Brussels Airlines,SN456,120,135.00,09:00
29,MAD,DUB,Aer Lingus,EI789,140,165.00,10:30
30,FCO,JFK,Alitalia,AZ608,540,780.00,16:00
31,FCO,BRU,Brussels Airlines,SN234,110,125.00,08:00
32,FCO,DUB,Aer Lingus,EI456,160,180.00,09:30
33,FCO,CPH,SAS,SK789,140,155.00,11:00
34,MUC,JFK,Lufthansa,LH410,510,720.00,12:30
35,MUC,ZRH,Swiss,LX234,50,75.00,07:00
36,MUC,BRU,Brussels Airlines,SN567,80,110.00,08:30
37,MUC,CPH,SAS,SK456,100,130.00,10:00
38,ZRH,JFK,Swiss,LX14,510,740.00,13:30
39,ZRH,LHR,British Airways,BA567,95,115.00,06:00
40,ZRH,CPH,SAS,SK234,110,135.00,08:00
41,ZRH,STO,SAS,SK567,130,150.00,09:30
42,BRU,JFK,Brussels Airlines,SN501,480,690.00,14:00
43,BRU,LHR,British Airways,BA345,55,85.00,07:30
44,BRU,CPH,SAS,SK345,90,120.00,09:00
45,BRU,OSL,SAS,SK678,110,140.00,10:30
46,DUB,JFK,Aer Lingus,EI104,420,650.00,15:30
47,DUB,LHR,British Airways,BA123,70,95.00,08:00
48,DUB,CDG,Air France,AF890,100,125.00,09:30
49,DUB,AMS,KLM,KL678,90,115.00,11:00
50,CPH,JFK,SAS,SK912,490,710.00,16:30
51,CPH,LHR,British Airways,BA678,110,130.00,07:00
52,CPH,AMS,KLM,KL345,75,100.00,08:30
53,CPH,STO,SAS,SK234,65,85.00,10:00
54,CPH,OSL,SAS,SK456,60,80.00,11:30
55,STO,JFK,SAS,SK901,520,730.00,17:00
56,STO,LHR,British Airways,BA789,130,145.00,08:30
57,STO,AMS,KLM,KL567,105,125.00,10:00
58,STO,OSL,SAS,SK123,55,75.00,11:30
59,OSL,JFK,SAS,SK903,480,700.00,18:00
60,OSL,LHR,British Airways,BA890,120,135.00,09:00
